processes, gridsize, time, conjGradientIters, iters/sec, newtonIters\n
10,1024,1.929134e+01, 15958,8.272104e+02, 333
11,1024,1.724085e+01, 16015,9.288988e+02, 335
1,1024,1.842344e+02, 15894,8.627052e+01, 331
12,1024,1.680580e+01, 15973,9.504459e+02, 335
13,1024,1.638648e+01, 15966,9.743399e+02, 334
14,1024,1.550863e+01, 15982,1.030523e+03, 334
15,1024,1.499195e+01, 16061,1.071308e+03, 336
16,1024,1.390996e+01, 15987,1.149320e+03, 334
17,1024,1.467512e+01, 15723,1.071406e+03, 325
18,1024,1.429199e+01, 16102,1.126645e+03, 339
19,1024,1.311772e+01, 15899,1.212025e+03, 333
20,1024,1.282484e+01, 16104,1.255688e+03, 337
21,1024,1.369211e+01, 15968,1.166219e+03, 334
2,1024,9.617529e+01, 15861,1.649176e+02, 331
22,1024,1.289635e+01, 15922,1.234613e+03, 332
23,1024,1.212708e+01, 16105,1.328020e+03, 339
24,1024,1.239197e+01, 15646,1.262591e+03, 323
25,1024,1.336926e+01, 16172,1.209640e+03, 340
26,1024,1.161861e+01, 16078,1.383815e+03, 338
27,1024,1.189567e+01, 16257,1.366632e+03, 344
28,1024,1.174678e+01, 15981,1.360458e+03, 333
29,1024,1.143124e+01, 15803,1.382440e+03, 327
30,1024,1.297588e+01, 15853,1.221728e+03, 331
31,1024,1.163943e+01, 16012,1.375668e+03, 335
3,1024,6.028072e+01, 16215,2.689915e+02, 343
32,1024,1.026286e+01, 15723,1.532029e+03, 325
4,1024,4.553484e+01, 16007,3.515330e+02, 336
5,1024,3.315452e+01, 16190,4.883196e+02, 341
6,1024,2.682052e+01, 16144,6.019272e+02, 340
7,1024,2.527230e+01, 15925,6.301365e+02, 333
8,1024,2.134265e+01, 16088,7.537959e+02, 338
9,1024,1.990178e+01, 16026,8.052548e+02, 336
10, 128,9.626089e-01, 2229,2.315582e+03, 300
11, 128,1.038314e+00, 2228,2.145786e+03, 300
1, 128,2.437395e-01, 2227,9.136802e+03, 300
12, 128,1.000873e+00, 2234,2.232051e+03, 300
13, 128,1.104399e+00, 2233,2.021913e+03, 300
14, 128,1.070904e+00, 2230,2.082354e+03, 300
15, 128,1.095061e+00, 2231,2.037329e+03, 300
16, 128,9.470302e-01, 2230,2.354730e+03, 300
17, 128,1.097282e+00, 2230,2.032295e+03, 301
18, 128,9.850035e-01, 2221,2.254814e+03, 300
19, 128,1.118342e+00, 2230,1.994023e+03, 300
20, 128,1.016629e+00, 2225,2.188606e+03, 300
21, 128,1.071811e+00, 2221,2.072193e+03, 300
2, 128,4.693732e-01, 2230,4.751017e+03, 300
22, 128,1.203504e+00, 2230,1.852923e+03, 300
23, 128,1.182152e+00, 2233,1.888928e+03, 300
24, 128,1.148240e+00, 2228,1.940360e+03, 300
25, 128,1.219242e+00, 2226,1.825724e+03, 300
26, 128,1.145103e+00, 2222,1.940437e+03, 300
27, 128,1.171603e+00, 2228,1.901668e+03, 300
28, 128,1.172172e+00, 2225,1.898185e+03, 300
29, 128,1.251094e+00, 2230,1.782440e+03, 300
30, 128,1.268433e+00, 2232,1.759652e+03, 300
31, 128,1.277211e+00, 2227,1.743643e+03, 300
3, 128,5.850117e-01, 2228,3.808471e+03, 300
32, 128,9.706033e-01, 2225,2.292389e+03, 300
4, 128,5.529309e-01, 2225,4.024011e+03, 300
5, 128,6.968026e-01, 2226,3.194592e+03, 300
6, 128,8.744792e-01, 2227,2.546659e+03, 300
7, 128,1.040334e+00, 2230,2.143542e+03, 300
8, 128,8.193104e-01, 2225,2.715699e+03, 300
9, 128,9.436742e-01, 2229,2.362044e+03, 300
10, 256,1.690006e+00, 4107,2.430169e+03, 300
11, 256,1.927638e+00, 4111,2.132662e+03, 300
1, 256,2.012106e+00, 4107,2.041145e+03, 300
12, 256,1.707998e+00, 4115,2.409253e+03, 300
13, 256,2.048674e+00, 4108,2.005199e+03, 300
14, 256,1.901044e+00, 4102,2.157762e+03, 300
15, 256,1.928798e+00, 4103,2.127231e+03, 300
16, 256,1.630292e+00, 4105,2.517954e+03, 300
17, 256,1.994090e+00, 4107,2.059586e+03, 300
18, 256,1.840034e+00, 4103,2.229850e+03, 300
19, 256,2.159173e+00, 4106,1.901654e+03, 300
20, 256,1.849194e+00, 4101,2.217723e+03, 300
21, 256,1.976169e+00, 4102,2.075733e+03, 300
2, 256,1.312634e+00, 4104,3.126538e+03, 300
22, 256,2.061653e+00, 4104,1.990636e+03, 300
23, 256,2.253553e+00, 4103,1.820681e+03, 300
24, 256,1.877385e+00, 4108,2.188150e+03, 300
25, 256,2.274011e+00, 4110,1.807379e+03, 300
26, 256,2.116410e+00, 4108,1.941023e+03, 300
27, 256,2.159134e+00, 4102,1.899836e+03, 300
28, 256,2.043099e+00, 4108,2.010672e+03, 300
29, 256,2.399707e+00, 4104,1.710209e+03, 300
30, 256,2.185869e+00, 4100,1.875684e+03, 300
31, 256,2.360073e+00, 4102,1.738082e+03, 300
3, 256,1.537037e+00, 4103,2.669421e+03, 300
32, 256,1.835632e+00, 4110,2.239011e+03, 300
4, 256,1.390644e+00, 4104,2.951150e+03, 300
5, 256,1.669454e+00, 4106,2.459487e+03, 300
6, 256,1.603808e+00, 4106,2.560156e+03, 300
7, 256,1.881963e+00, 4099,2.178045e+03, 300
8, 256,1.483783e+00, 4106,2.767251e+03, 300
9, 256,1.785103e+00, 4110,2.302388e+03, 300
10, 512,4.070352e+00, 7828,1.923175e+03, 301
11, 512,4.212806e+00, 7841,1.861230e+03, 302
1, 512,1.963712e+01, 7827,3.985818e+02, 301
12, 512,4.099758e+00, 7826,1.908893e+03, 301
13, 512,4.233530e+00, 7813,1.845505e+03, 300
14, 512,4.330115e+00, 7818,1.805495e+03, 300
15, 512,4.155435e+00, 7802,1.877541e+03, 300
16, 512,3.754023e+00, 7810,2.080435e+03, 300
17, 512,4.021664e+00, 7814,1.942977e+03, 300
18, 512,3.872009e+00, 7808,2.016524e+03, 300
19, 512,4.228276e+00, 7830,1.851818e+03, 301
20, 512,3.992281e+00, 7810,1.956275e+03, 300
21, 512,4.178036e+00, 7822,1.872172e+03, 301
2, 512,1.018834e+01, 7824,7.679368e+02, 301
22, 512,4.266618e+00, 7809,1.830255e+03, 300
23, 512,4.449909e+00, 7804,1.753744e+03, 300
24, 512,3.972564e+00, 7825,1.969761e+03, 301
25, 512,4.407506e+00, 7830,1.776515e+03, 301
26, 512,4.281533e+00, 7815,1.825281e+03, 301
27, 512,4.184488e+00, 7831,1.871436e+03, 301
28, 512,4.258835e+00, 7828,1.838061e+03, 302
29, 512,4.537445e+00, 7815,1.722335e+03, 300
30, 512,4.192225e+00, 7832,1.868220e+03, 301
31, 512,4.781433e+00, 7822,1.635911e+03, 300
3, 512,6.723740e+00, 7818,1.162746e+03, 300
32, 512,3.818907e+00, 7807,2.044302e+03, 300
4, 512,5.424698e+00, 7819,1.441371e+03, 300
5, 512,4.874707e+00, 7806,1.601327e+03, 300
6, 512,4.633342e+00, 7819,1.687551e+03, 300
7, 512,4.780112e+00, 7823,1.636573e+03, 301
8, 512,3.984042e+00, 7830,1.965341e+03, 301
9, 512,4.024184e+00, 7809,1.940518e+03, 300
